상품명,권장 연령,권장 사이즈,사료 종류,사료 형태,주 단백질원,알갱이 크기,제조국,원산지,조단백,조지방,조섬유,조회분,수분,칼슘,인,오메가3,오메가6,기타 영양소,주성분
웰니스 코어오션 포뮬라,전연령,All,주식,건식,,1.1Cm,미국,미국,34%,16%,7%,0%,10%,2.1%,1.45%,0.8%,2%, 글루코사민 (250 mg/kg) 콘드로이틴 (200 mg/kg),"['흰살생선', '청어밀', '연어밀', '멘헤이든밀', '완두콩', '감자', '분쇄한 건조감자', '카놀라유', '완두콩섬유', '토마토포마스', '천연생선향', '아마씨', '당근', '고구마', '케일', '브로콜리', '시금치', '파슬리', '사과', '블루베리', '비타민E', '베타카로틴', '나이아신', '판토텐산칼슘', '비타민A', '리보플라빈', '비타민D3', '비타민B12', '피리독신', '티아민질산염', '비타민C', '비오틴', '엽산', '아연킬레이트', '황산아연', '철킬레이트', '황산철', '황산구리', '구리킬레이트', '망간킬레이트', '황산망간', '셀레나이트', '요오드산칼슘', '염화콜린', '비타민E', '글루코사민', '황산 콘드로이틴', '치커리뿌리', '유카추출물', '건조 락토바실러스 프란타룸', '건조 엔테로코커스 페시움', '건조 락토바실러스 카제이', '건조 락토바실러스 애시도필러스', '로즈마리 추출물', '녹차 추출물']"
웰니스 코어 퍼피 포뮬라,퍼피,All,주식,건식,,1Cm,미국,미국,36%,18%,5%,0%,10%,1.5%,1%,0.6%,3.5%, DHA (0.1 %)이상,"['뼈를발라낸닭고기', '치킨밀', '칠면조밀', '감자', '완두콩', '감자단백질', '닭고기지방(천연 토코페롤 보존)', '분쇄한 건조감자', '토마토포마스', '천연치킨향', '연어기름', '아마씨', '염화칼슘', '소금', '비타민E', '베타카로틴', '나이아신', '판토텐산칼슘', '비타민A', '리보플라빈', '비타민D3', '비타민B12', '피리독신', '티아민질산염', '비타민C', '비오틴', '엽산', '아연킬레이트', '황산아연', '철킬레이트', '황산철', '황산구리', '구리킬레이트', '망간킬레이트', '황산망간', '셀레나이트', '요오드산칼슘', '당근', '고구마', '케일', '브로콜리', '시금치', '파슬리', '사과', '블루베리', '바나나', '염화콜린', '비타민E', '치커리뿌리', '유카추출물', '타우린', '건조 락토바실러스 프란타룸', '건조 엔테로코커스 페시움', '건조 락토바실러스 카제이', '건조 락토바실러스 애시도필러스', '로즈마리 추출물', '녹차 추출물']"
웰니스 Lid 심플 살몬앤포테이토,전연령,All,주식,건식,,1Cm,미국,미국,25%,12%,5%,0%,11%,0%,0%,1%,2.8%,,"['연어', '연어밀', '감자', '완두콩', '분쇄한 건조감자', '토마토포마스', '아마씨', '카놀라유', '제2인산칼슘', '천연생선향', '치커리 뿌리 추출물', '비타민E', '베타카로틴', '나이아신', '판토텐산칼슘', '비타민A', '비타민B12', '피리독신', '티아민질산염', '비타민C', '비오틴', '엽산', '아연킬레이트', '황산망간', '셀레나이트', '요오드산칼슘', '염화콜린', '비타민E', '타우린', '건조 락토바실러스 프란타룸', '건조 엔테로코커스 페시움', '건조 락토바실러스 카제이', '건조 락토바실러스 애시도필러스', '로즈마리 추출물', '녹차 추출물']"
웰니스 Lid 심플 터키앤포테이토,전연령,All,주식,건식,,1.1Cm,미국,미국,26%,12%,5.5%,0%,11%,0%,0%,1%,2.8%,,"['뼈를 발라낸 칠면조', '칠면조밀', '감자', '완두콩', '분쇄한 건조감자', '토마토포마스', '아마씨', '카놀라유', '천연칠면조향', '제2인산칼슘', '치커리 뿌리 추출물', '비타민E', '베타카로틴', '나이아신', '판토텐산칼슘', '비타민A', '리보플라빈', '비타민D3', '비타민B12', '피리독신', '티아민질산염', '비타민C', '비오틴', '엽산', '아연킬레이트', '황산아연', '철킬레이트', '황산철', '황산구리', '구리킬레이트', '망간킬레이트', '황산망간', '셀레나이트', '요오드산칼슘', '염화콜린', '비타민E', '타우린', '건조 락토바실러스 프란타룸', '건조 엔테로코커스 페시움', '건조 락토바실러스 카제이', '건조 락토바실러스 애시도필러스', '로즈마리 추출물', '녹차 추출물']"
웰니스 Lid 심플 스몰브리드 살몬앤포테이토,어덜트,소형견,주식,건식,,0.8Cm,미국,미국,29%,14%,5%,0%,10%,0%,0%,1.25%,2.5%,,"['연어', '연어밀', '완두콩', '감자', '카놀라유', '분쇄한 건조감자', '토마토포마스', '아마씨', '천연생선향', '치커리 뿌리 추출물', '비타민E', '베타카로틴', '나이아신', '판토텐산칼슘', '비타민A', '리보플라빈', '비타민D3', '비타민B12', '피리독신', '티아민질산염', '비타민C', '비오틴', '엽산', '아연킬레이트', '황산아연', '철킬레이트', '황산철', '황산구리', '구리킬레이트', '망간킬레이트', '황산망간', '셀레나이트', '요오드산칼슘', '염화콜린', '비타민E', '타우린', '글루코사민', '황산 콘드로이틴', '건조 락토바실러스 프란타룸', '건조 엔테로코커스 페시움', '건조 락토바실러스 카제이', '건조 락토바실러스 애시도필러스', '로즈마리 추출물', '녹차 추출물']"
웰니스 코어 그레인프리 스몰브리드 포뮬라,어덜트,소형견,주식,건식,,0.8Cm,미국,미국,36%,16%,5%,0%,10%,2%,1.3%,0.5%,3%, 글루코사민 (250 mg/kg) 콘드로이틴 (200 mg/kg),"['뼈를 발라낸 칠면조', '칠면조밀', '치킨밀', '감자', '완두콩', '분쇄한 건조감자', '닭고기지방(천연 토코페롤 보존)', '토마토 포마스', '천연치킨향', '아마씨', '연어유', '유카추출물', '비타민E', '베타카로틴', '나이아신', '판토텐산칼슘', '비타민A', '리보플라빈', '비타민D3', '비타민B12', '피리독신', '티아민질산염', '비타민C', '비오틴', '엽산', '아연킬레이트', '황산아연', '철킬레이트', '황산철', '황산구리', '구리킬레이트', '망간킬레이트', '황산망간', '셀레나이트', '요오드산칼슘', '당근', '고구마', '케일', '브로콜리', '시금치', '파슬리', '사과', '블루베리', '비타민E', '스피아민트', '치커리뿌리', '글루코사민', '황산 콘드로이틴', '타우린', '건조 락토바실러스 프란타룸', '건조 엔테로코커스 페시움', '건조 락토바실러스 카제이', '건조 락토바실러스 애시도필러스', '로즈마리 추출물']"
웰니스 컴플리트헬스 그레인프리 어덜트 치킨,어덜트,All,주식,건식,,1.1Cm,미국,미국,26%,12%,5.25%,0%,10%,0.8%,0.6%,0.75%,3%, 글루코사민 (250 mg/kg) 콘드로이틴 (200 mg/kg),"['뼈를발라낸닭고기', '닭고기밀', '닭고기지방(천연 토코페롤 보존)', '천연치킨향', '감자', '완두콩', '분쇄한 건조감자', '병아리콩', '토마토포마스', '분쇄 아마씨', '토마토', '당근', '시금치', '고구마', '사과', '블루베리', '마늘가루', '염화칼륨', '염화콜린', '비타민E', '타우린', '아연킬레이트', '혼합 토코페롤', '황산아연', '탄산칼슘', '나이아신', '황산제1철', '철킬레이트', '비타민A', '글루코사민', '황산 콘드로이틴', '아스코르빈산', '황산구리', '티아민질산염', '구리킬레이트', '망간킬레이트', '황산망간', '판토텐산칼슘', '셀레나이트', '염산피리독신', '리보플라빈', '비타민D3', '비오틴', '요오드산칼슘', '비타민B12', '엽산', '치커리 뿌리 추출물', '유카 추출물', '건조 락토바실러스 프란타룸', '건조 엔테로코커스 페시움', '건조 락토바실러스 카제이', '건조 락토바실러스 애시도필러스', '로즈마리 추출물', '녹차 추출물', '스피어민트 추출물']"
웰니스 코어 그레인프리 치킨앤 터키 습식캔,전연령,All,주식,습식,,,미국,미국,12%,8%,0.5%,4%,78%,0.3%,0.3%,0%,0%,,"['닭고기', '칠면조', '닭고기 간', '닭고기 육수', '닭고기밀', '칠면조 간', '고구마', '카라기난', '구아검', '당근', '사과', '시금치', '파슬리', '블루베리', '브로콜리', '케일', '분쇄 아마씨', '연어유', '소금', '치커리 뿌리 추출물', '유카 추출물', '염화칼륨', '철킬레이트', '아연킬레이트', '염화콜린', '비타민E', '코발트', '구리킬레이트', '망간킬레이트', '리보플라빈', '셀레나이트', '티아민질산염', '비타민A', '비타민B12', '요오드화칼륨', '비오틴', '비타민D3']"
웰니스 코어 그레인프리 살몬앤 화이트피쉬 습식캔,전연령,All,주식,습식,,,미국,미국,10%,6%,0.5%,4%,78%,0.4%,0.3%,0%,0%,,"['흰살생선', '닭고기', '닭고기 간', '연어육수', '연어', '청어', '고구마', '분쇄 아마씨', '구아검', '카라기난', '염화칼륨', '소금', '치커리 뿌리 추출물', '유카 추출물', '카놀라유', '블루베리', '케일', '사과', '염화콜린', '파슬리', '당근', '브로콜리', '시금치', '아연킬레이트', '철킬레이트', '티아민질산염', '비타민E', '구리킬레이트', '망간킬레이트', '셀레나이트', '코발트', '나이아신', '판토텐산 칼슘', '비타민A', '리보플라빈', '비오틴', '비타민B12', '요오드화칼륨', '피리독신 염산염', '비타민D3', '엽산']"
웰츠 퍼피,퍼피,All,주식,건식,,0.8Cm,한국,한국,36%,16%,4%,9%,10%,1.1%,0.9%,0.8%,4.7%, DHA (0.35 %)이상 EPA (0.25 %)이상,"['닭고기(뼈 바른 생닭고기)', '닭고기분(건조 닭고기)', '병아리콩', '완두콩', '닭기름', '렌틸콩', '호박', '바나나', '정제섬유소', '비트펄프', '아마씨', '가수분해 닭고기분(천연향미제)', '어유', '비타민 A', '비타민 D3', '비타민 E', '비타민 B1', '비타민 B2', '비타민 B6', '비타민 B12', '바이오틴', '엽산', '판토텐산', '나이아신', '철', '아연', '망간', '구리', '요오드', '코발트', '셀레늄', '베타카로틴', '유기태 망간', '유기태 아연', '유기태 셀레늄', '프로테아제', '허브제 강황', '허브제 백리향', '허브제 페뉴그릭', '해남 땅끝 고구마', '이스트', '프로바이오틱스(B.Sibitlis)', '프리바이오틱스(FOS)', '유카추출물', '로즈마리']"
웰츠 어덜트독,어덜트,All,주식,건식,,1.3Cm,한국,한국,32%,14%,5%,10%,10%,1.2%,0.9%,0.7%,5%, DHA (0.3 %)이상 EPA (0.2 %)이상 글루코사민 (600 mg/kg) 콘드로이틴 (500 mg/kg),"['닭고기(뼈 바른 생닭고기)', '닭고기분(건조닭고기', '병아리콩', '완두콩', '닭기름', '렌틸콩', '호박', '바나나', '정제섬유소', '비트펄프', '아마씨', '가수분해 닭고기분(천연향미제)', '어유', '비타민 A', '비타민 D3', '비타민 E', '비타민 B1', '비타민 B2', '비타민 B6', '비타민 B12', '바이오틴', '엽산', '판토텐산', '나이아신', '철', '아연', '망간', '구리', '요오드', '코발트', '셀레늄', '베타카로틴', '유기태 망간', '유기태 아연', '유기태 셀레늄', '프로테아제(단백질 분해효소)', '허브제 강황', '허브제 백리향', '허브제 페뉴그릭', '해남 땅끝 고구마', '이스트', '프로바이오틱스(B.Sibitlis)', '프리바이오틱스(FOS)', '유카추출물', '글루코사민', '콘드로이틴', '로즈마리']"
웰츠 시니어 독,시니어,All,주식,건식,,1Cm,한국,한국,28%,12%,5%,10%,10%,1%,0.8%,0.8%,4.3%, DHA (0.25 %)이상 EPA (0.15 %)이상 글루코사민 (600 mg/kg) 콘드로이틴 (500 mg/kg),"['닭고기(뼈 바른 생닭고기)', '닭고기분(건조닭고기', '병아리콩', '완두콩', '정제섬유소', '비트펄프', '가수분해 닭고기', '닭기름', '렌틸콩', '호박', '바나나', '오션피쉬분말(정어리)', '아마씨', '가수분해 닭고기분(천연향미제)', '어유', '비타민 A', '비타민 D3', '비타민 E', '비타민 B1', '비타민 B2', '비타민 B6', '비타민 B12', '바이오틴', '엽산', '판토텐산', '나이아신', '철', '아연', '망간', '구리', '요오드', '코발트', '셀레늄', '베타카로틴', '유기태 망간', '유기태 아연', '유기태 셀레늄', '프로테아제(단백질 분해효소)', '허브제 강황', '허브제 백리향', '허브제 페뉴그릭', '해남 땅끝 고구마', '이스트', '프로바이오틱스(B.Sibitlis)', '프리바이오틱스(FOS)', '유카추출물', '글루코사민', '콘드로이틴', '로즈마리']"
웰츠 독 연어,전연령,All,주식,건식,,1Cm,한국,한국,38%,16%,5%,9.5%,10%,1.35%,0.95%,0.7%,5%, DHA (0.4 %)이상 EPA (0.3 %)이상 글루코사민 (600 mg/kg) 콘드로이틴 (500 mg/kg),"['건조닭고기(30%)', '뼈바른 생연어(25%)', '뼈바른 생닭고기(22%)', '병아리콩', '건조정어리(3%)', '고구마', '완두콩', '렌틸콩', '알팔파', '천연 닭기름', '바나나', '아마씨', '연어오일', '비타민(A, D3, E, B1, B2, B6, B12, 바이오틴, 엽산, 판토텐산, 나이아신)', '미네랄(철, 구리 등)', '베타 카로틴', '비타민 C', '심황', '타임', '페뉴그릭', '이스트', '프로바이오틱스(B. licheniformis, B subtilis)', '프리바이오틱스(FOS,이눌린)', '건조유카', '글루코사민', '콘드로이틴', '블루베리', '블랙베리', '건조 로즈마리']"
웰츠 독 저지방 다이어트,전연령,All,주식,건식,,1.1Cm,한국,한국,36%,11%,8%,9%,10%,1.45%,0.85%,0.65%,4.25%, DHA (0.35 %)이상 EPA (0.25 %)이상 글루코사민 (600 mg/kg) 콘드로이틴 (500 mg/kg) L-카르니틴 (30 mg/kg),"['뼈바른 생닭고기(35%)', '건조닭고기(32%)', '병아리콩', '뼈바른 생연어(5%)', '건조정어리(5%)', '고구마', '완두콩', '렌틸콩', '가수분해 닭간(3%)', '바나나', '알팔파', '천연 닭기름', '아마씨', '연어오일', '비타민(A, D3, E, B1, B2, B6, B12, 바이오틴, 엽산, 판토텐산, 나이아신)', '미네랄(철, 구리 등)', '베타 카로틴', '비타민 C', '심황', '타임', '페뉴그릭', '이스트', '프로바이오틱스(B. licheniformis, B subtilis)', '프리바이오틱스(FOS,이눌린)', '건조유카', '글루코사민', '콘드로이틴', '블루베리', '블랙베리', '건조 로즈마리']"
웰츠 독 오리,전연령,All,주식,건식,,1.1Cm,한국,한국,34%,13%,5%,9%,10%,1%,0.8%,0.7%,4.8%, DHA (0.3 %)이상 EPA (0.2 %)이상 글루코사민 (600 mg/kg) 콘드로이틴 (500 mg/kg),"['건조닭고기(30%)', '뼈바른 생오리(25%)', '뼈바른 생닭고기(22%)', '병아리콩', '건조정어리(3%)', '고구마', '완두콩', '렌틸 콩', '알팔파', '천연 닭기름', '바나나', '아마씨', '연어오일', '코코넛 오일', '비타민(A, D3, E, B1, B2, B6, B12, 바이오틴, 엽산, 판토텐산, 나이아신)', '미네랄(철, 구리 등)', '베타 카로틴', '비타민 C', '심황', '타임', '페뉴그릭', '이스트', '프로바이오틱스(B. licheniformis, B subtilis)', '프리바이오틱스(FOS,이눌린)', '건조유카', '글루코사민', '콘드로이틴', '마키베리', '아로니아베리', '아사이베리', '건조 로즈마리']"
웰츠 독 아이케어,전연령,All,주식,건식,,1.1Cm,한국,한국,34%,13%,5%,10%,10%,1.2%,1%,0.9%,5%, 글루코사민 (600 mg/kg) 콘드로이틴 (500 mg/kg) 루테인 (320 mg/kg) 제아잔틴 (20 mg/kg),"['뼈바른 생닭고기(32%)', '건조닭고기(30%)', '뼈바른 생연어(7%)', '병아리콩', '뼈바른 생오리(5%)', '건조정어리(3%)', '가수분해 닭간(3%)', '고구마', '완두콩', '렌틸 콩', '알팔파', '천연 닭기름', '바나나', '아마씨', '연어오일', '코코넛 오일', '비타민(A, D3, E, B1, B2, B6, B12, 바이오틴, 엽산, 판토텐산, 나이아신)', '미네랄(철, 구리 등)', '베타 카로틴', '비타민 C', '심황', '타임', '페뉴그릭', '이스트', '프로바이오틱스(B. licheniformis, B subtilis)', '프리바이오틱스(FOS,이눌린)', '건조유카', '글루코사민', '콘드로이틴', '루테인', '제아잔틴', '마키베리', '아로니아베리', '아사이베리', '건조 로즈마리']"
위시본 양고기,전연령,All,주식,건식,,,뉴질랜드,뉴질랜드,26%,10%,4%,9%,10%,2.4%,1.4%,0%,0%,,"['양고기밀', '생선분말', '감자', '타피오카', '닭지방', '완두콩', '블루베리', '크렌베리', '파파야', '망고', '사과', '바질', '오레가노', '로즈마리', '라임', '해바라기씨', '카모마일', '페퍼민트', '카멜리아', '천연향료', '비타민 E 첨가제', '티아민 질산염', '비타민', '비타민 D3', '엽산', '염화나트륨', '타우린', '염화콜린', '황산 마그네슘', '황산아연', '황산 철', '탄산칼슘', '황산구리', '황산망간', '요오드산 칼슘', '황산 코발트', '셀레늄', '녹차 추출물', '로즈마리 추출물', '스피아민트 추출물']"
위시본 오리고기,전연령,All,주식,건식,,,뉴질랜드,뉴질랜드,26%,10%,4%,9%,10%,2.4%,1.4%,0%,0%,,"['건조 오리고기', '건조 생선', '감자', '타피오카', '닭지방', '완두콩', '블루베리', '크렌베리', '파파야', '망고', '사과', '바질', '오레가노', '로즈마리', '라임', '해바라기씨', '카모마일', '페퍼민트', '카멜리아', '천연 향료', '비타민 E 첨가제', '나이아신', '판토텐산 칼슘', '비타민 A 첨가제', '티아민 질산염(비타민 B1)', '리보플라빈 첨가제', '피리독신', '비타민 B12 첨가제', '비타민 D3', '엽산', '염화나트륨', '타우린', '염화콜린', '황산 마그네슘', '황산아연', '황산철', '탄산칼슘', '황산구리', '황산 망간', '요오드산 칼슘', '황산 코발트', '셀레늄', '녹차 추출물', '로즈마리 추출물', '스피아민트 추출물']"
위시본 연어,전연령,All,주식,건식,,,뉴질랜드,뉴질랜드,26%,10%,4%,9%,10%,2.3%,1.3%,0%,0%,,"['연어밀', '생선분말', '감자', '타피오카', '치킨 지방', '완두콩', '블루베리', '크렌베리', '파파야', '망고', '사과', '바질', '오레가노', '로즈마리', '라임', '해바라기씨', '카모마일', '페퍼민트', '카멜리아', '천연향료', '비타민 E 첨가제', '나이아신', '판토텐산 칼슘', '비타민 A', '티아민 질산염(비타민 B1)', '리보플라빈 첨가제', '피리독신', '비타민 B12 첨가제', '비타민 D3', '엽산', '염화나트륨', '타우린', '염화콜린', '황산 마그네슘', '황산 아연', '황산 철', '탄산 칼슘', '황산구리', '황산 망간', '요오드산 칼슘', '황산 코발트', '셀레늄', '녹차 추출물', '로즈마리 추출물', '스피아민트 추출물']"
이볼브 퍼피,퍼피,ALL,주식용,건사료,,확인불가,미국,미국,26%,9.52%,4%,9.39%,9%,1.48%,1.06%,0%,0%, 탄수화물 (0 %)이하,"['뼈를 발라낸 신선한 닭고기', '건조 닭고기', '현미', '쌀가루', '정제닭지방(천연토코페롤로 혼합보존처리)', '말린 비트 펄프', '쌀겨', '오트밀', '천연향', '아마씨', '계란', '생선가루', '브루얼스건조 효모', '소금', '카놀라 오일', '염화칼륨', '치즈', '탈지분유', '마늘가루', '유카추출물', '다시마', '완두콩', '당근', '샐러리', '사탕무', '파슬리', '양상추', '시금치', '락토바실루스 카제이', '비피도박테리움 델모피룸', '엔트로코커스 패시움', '콜린', '비타민 E', '비타민 A', '비타민 D3', '나이아신', '판토텐산 칼슘', '티아민 질산염', '피리독신', '리보플라빈', '엽산', '비오틴', '비타민B12', '황산구리', '황산망간', '요오드칼슘', '탄산코발트', '셀레나이트']"
이볼브 어덜트,어덜트,ALL,주식용,건사료,,확인불가,미국,미국,23.5%,10%,4%,8.5%,9%,1.01%,0.81%,0%,0%, 탄수화물 (0 %)이하,"['뼈를 발라낸 신선한 닭고기', '건조 닭고기', '현미', '쌀가루', '정제닭지방(천연토코페롤로 혼합보존처리)', '말린 비트 펄프', '쌀겨', '오트밀', '천연향', '아마씨', '계란', '생선가루', '브루얼스건조 효모', '소금', '카놀라 오일', '염화칼륨', '치즈', '탈지분유', '마늘가루', '유카추출물', '다시마', '완두콩', '당근', '샐러리', '사탕무', '파슬리', '양상추', '시금치', '락토바실루스 카제이', '비피도박테리움 델모피룸', '엔트로코커스 패시움', '콜린', '비타민 E', '비타민 A', '비타민 D3', '나이아신', '판토텐산 칼슘', '티아민 질산염', '피리독신', '리보플라빈', '엽산', '비오틴', '비타민B12', '황산구리', '황산망간', '요오드칼슘', '탄산코발트', '셀레나이트']"
이볼브 시니어 & 라이트,시니어,ALL,주식용,건사료,,확인불가,미국,미국,18%,4.05%,4%,8.5%,9%,1.18%,0.78%,0%,0%, 탄수화물 (0 %)이하,"['뼈를 발라낸 신선한 닭고기', '현미', '쌀가루', '건조닭고기', '말린 비트 펄프', '쌀겨', '분말 셀룰로오스', '천연향', '말린 계란', '아마씨', '염화칼륨', '브루얼스건조 효모', '소금', '레시틴', '말린 다시마', '시금치', '당근', '셀러리', '사탕무', '파슬리', 'DL-메티오닌', 'L-라이신', 'L-카르니틴', '락토바실루스 카제이', '비피도박테리움 델모피룸', '장구균', '닭 연골', '염화콜린', '비타민 A', '비타민 E', '아스코르빈산', '비타민 D3', '판토텐산 칼슘', '티아민 질산염', '피리독신', '리보플라빈', '엽산', '나이아신', '비오틴', '비타민B12', '건조 켈프', '철', '아연', '망간', '구리', '황산아연', '황산구리', '황산망간', '요오드칼슘', '탄산코발트', '셀레나이트']"
이즈칸 그레인프리 센서티브 연어와 감자,퍼피,All,주식,건식,,1Cm,대한민국,대한민국,26%,16%,5%,12%,12%,1.3%,0.7%,0.5%,3%,,"['생연어', '연어분말', '생닭고기', '고구마', '타피오카', '건조 감자', '완두콩', '바나나분말', '가수분해 닭고기분말', '당근', '토마토', '비트', '브로콜리', '파슬리', '딸기', '오렌지', '사과', '치킨오일', '연어오일', '정제섬유소', '계란분말', '효모', '아마씨', '식염', '레시틴', '메치오닌', '비타민E', '비타민C', '염화칼륨', '비타민제합제', '엽산', '바이오틴', '아연', '셀레늄', '구리', '철', '아연', '코발트', '요오드', '칼슘', '망간', '유기태 미네랄', '트립토판', '콘드로이친', 'L-카르니틴', '글루코사민', '프로테아제', '프로바이오틱스', '베타카로틴', '프락토올리고당', '천연한약제', '마늘추출물', '유카추출물', '호로파분말', '해초추출물']"
이즈칸 그레인프리 파이브케어 (유기농),전연령,All,주식,건식,,0.6Cm,대한민국,대한민국,26%,12%,5%,10%,12%,1%,0.8%,0%,0%,,"['생닭고기', '가수분해연어분말', '닭고기분말', '유기농 고구마', '유기농 당근', '유기농 호박', '유기농 녹두', '유기농 참깨씨', '유기농 해바라기씨', '유기농 아마씨', '유기농 맥반석', '타피오카분말', '비트펄프', '닭기름', '가수분해 닭고기분말(천연향미제)', '이스트', '유카추출물', '페뉴그릭', '미량광물질류합제', '글루코사민', '비타민프리믹스(A,B1,B2,B3,B5,B6,B12,C,D3,E,엽산,바이오틴)', '유기태미네랄', '콘드로이틴', '비타민C', '프로바이오틱스(생균제)', '프리바이오틱스(FOS,치커리이뉼린)', '정제섬유소(셀룰로스)', '계란분말', '베타케로틴', '키토산', '단백질분해효소(프로테아제)', '천연항산화제(마키베리,아사이베리,로즈마리,플라보노이드)']"
이즈칸 조인트케어,전연령,All,주식,건식,,0.94Cm,대한민국,대한민국,29%,11%,6%,10%,12%,1.2%,0.8%,0%,0%,,"['생닭고기', '건조닭고기분말', '병아리콩', '렌틸콩', '완두콩', '타피오카분말', '고구마분말', '바나나분말', '비트펄프', '가수분해닭고기분말', '닭기름', '피쉬오일', '정제섬유소', '아마종실', '가수분해닭고기', '천연향미제', '가수분해 콩단백질', '오션피쉬분말', '건조계란분말', '베타카로틴', '키토산', '맥주효모', '공액리놀랜산(CLA)', '비타민프리믹스(A,B1,B2,B3,B5,B6,B12,C,D3,E,엽산,바이오틴)', '유기태미네랄', '미량광물질류합제', 'L-카르니틴', '프로테아제(단백질분해효소)', '프로바이오틱스', '글루코사민', '프리바이오틱스(FOS,이눌린)', '허브제(천연생약제제)', '콘드로이친(뮤코다당)', 'MSM', '초록입홍합추출물', '천연항산화제(마키베리,아사이베리,아로니아,로즈마리,플라보노이드)', '보스웰리아', '유카추출물', '페뉴그릭']"
이즈칸 베이비스타터,퍼피,All,주식,건식,,0.52Cm,대한민국,대한민국,30%,21%,6%,9%,12%,1.3%,1%,0%,0%,,"['가수분해 닭고기분', '생닭고기', '닭고기분', '현미', '닭기름', '어류기름(연어)', '가수분해콩단백', '셀룰로오스', '어분', '가수분해 닭고기분(천연향미제)', '가수분해 동물성단백질', '계란분말', '아마인', '맥주효모', '프락토올리고당', '프로바이오틱스', '프로테아제(단백질분해효소)', '페뉴그릭', '유카추출물', '비타민제합제(비타민 A, B등)', '미네랄프리믹스(철분,아연,망간,구리,칼슘,코발트,셀레늄)', 'DL-메치오닌', '로즈마리추출물(천연항산화제)', '초유성분', '난황항체']"
이즈칸 그레인프리 주니어,퍼피,All,주식,건식,,0.55Cm,대한민국,대한민국,32%,21%,3%,9%,12%,1.4%,0.9%,0%,0%,,"['생닭고기', '닭고기분', '병아리콩', '렌틸콩', '완두콩', '고구마분말', '바나나분말', '가수분해닭고기분(천연향미제)', '토마토', '비트', '브로콜리', '파슬리', '딸기', '오렌지', '사과', '망고', '바나나', '닭기름', '어류기름(연어)', '정제섬유소', '계란분말', '효모', '아마인', '식염', 'DL-메치오닌', '비타민E', '비타민C', '염화칼륨', '비타민제합제', '미네랄프리믹스(철분,아연,망간,구리,칼슘,코발트,셀레늄)', '미량광물질류합제', '트립토판', '프로테아제(단백질분해효소)', '프로바이오틱스', '베타케로틴', '프락토올리고당', '천연한약제', '백리향', '울금', '페뉴그릭', '마늘추출물', '유카추출물', '난황', '치커리이눌린', '로즈마리추출물(천연항산화제)']"
이즈칸 그레인프리 퍼포먼스,퍼피,All,주식,건식,,0.94Cm,대한민국,대한민국,26%,16%,3%,9%,12%,1.3%,0.9%,0%,0%,,"['생닭고기', '닭고기분', '타피오카', '건조 감자', '바나나분말', '가수분해 닭고기분말', '당근', '토마토', '비트', '브로콜리', '파슬리', '딸기', '오렌지', '사과', '닭기름', '연어오일', '정제섬유소', '계란분말', '효모', '아마씨', '식염', '레시틴', '메치오닌', '비타민E', '비타민C', '염화칼륨', '비타민', '엽산', '바이오틴', '아연', '미네랄믹스', '칼슘', '망간', '유기태 미네랄', '트립토판', '콘드로이틴', 'L-카르니틴', '글루코사민', '프로테아제', '프리바이오틱스', '베타카로틴', '프락토올리고당', '천연한약제', '마늘추출물', '유카추출물', '호로파분말', '해초추출물']"
이즈칸 소프트 치킨,전연령,All,주식,건식,,0.8Cm,대한민국,대한민국,22%,8%,3%,9%,0%,1%,1.5%,0.3%,1.7%,,"['생닭고기', '가수분해 닭고기분말', '닭고기분', '현미', '닭기름', '연어오일', '계란분말', '바나나분말', '유기농 퀴노아', '유기농 아마란스', '유기농 메밀', '유기농 치아', '유기농 수수', '유기농 오트밀', '비타민 믹스', '미네랄 프리믹스', '아마씨', '글루코사민', '콘드로이친', '키토산', '프로테아제', '천연한약제', '유카추출물', '호로파', '등']"
이즈칸 소프트살몬,전연령,All,주식,건식,,0.78Cm,대한민국,대한민국,22%,9%,5%,10%,0%,0.9%,1.3%,0%,0%,,"['생연어', '연어분말', '생닭고기', '가수분해 닭고기분말', '현미', '치킨오일', '연어오일', '계란분말', '바나나분말', '유기농 퀴노아', '유기농 아마란스', '유기농 메밀', '유기농 치아', '유기농 수수', '유기농 오트밀', '비타민 프리믹스(A, B1, B2, B6, K3, B12, D3, E)', '미네랄 프리믹스', '아마씨', '글루코사민', '콘드로이친', '키토산', '프로테아제', '천연한약제', '유카추출물', '호로파분말', '등']"
이즈칸 알러지프리,어덜트,All,주식,건식,,0.78Cm,대한민국,대한민국,21%,11%,8%,12%,12%,1.6%,0.8%,0.7%,4%,,"['가수분해대두단백', '가수분해 닭고기분', '현미', '대두유', '닭기름', '정제섬유소', '아마인', '인산칼슘', '가수분해 닭고기분(천연향미제)', '식염', '염화칼륨', 'DL-메치오닌', '비타민제합제', '비타민E', '비타민C', '염화콜린', '미네랄(아연단백질화합물, 철단백질화합물, 구리단백질화합물, 망간단백질화합물, 요오드화에틸렌디아민', '미량광물질류합제', '유카추출물', '맥주효모', '감귤추출물', '프로테아제(단백질분해효소)']"
